Nâng cấp bắt đầu: 15:17:54_23-07-2024
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/constants.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/core/admin_access.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/core/admin_functions.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/core/admin_login.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/core/admin_login_zalo.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/core/admin_logout.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/core/captcha.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/core/cronjobs.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/core/filesystem_functions.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/core/is_admin.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/core/is_user.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/core/rpc.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/core/stat.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/core/statimg.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/core/theme_functions.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/core/user_functions.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/countries.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/cronjobs/notification_autodel.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/footer.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/functions.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/ini/mime.ini | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/ini.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/language/en/admin_authors.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/language/en/admin_database.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/language/en/admin_extensions.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/language/en/admin_global.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/language/en/admin_settings.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/language/en/admin_upload.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/language/en/admin_zalo.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/language/en/global.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/language/en/install.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/language/fr/admin_authors.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/language/fr/admin_database.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/language/fr/admin_extensions.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/language/fr/admin_global.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/language/fr/admin_settings.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/language/fr/admin_upload.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/language/fr/admin_zalo.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/language/fr/global.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/language/fr/install.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/language/vi/admin_authors.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/language/vi/admin_database.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/language/vi/admin_extensions.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/language/vi/admin_global.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/language/vi/admin_settings.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/language/vi/admin_upload.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/language/vi/admin_zalo.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/language/vi/functions.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/language/vi/global.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/language/vi/install.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/mainfile.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/plugin/qrcode.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/request_uri.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/timezone.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/utf8/iconv_string_handler.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/utf8/mb_string_handler.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/utf8/php_string_handler.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/xtemplate.class.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file index.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file install/action_mysql.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file install/config.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file install/data.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file install/data_by_lang.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file install/data_en.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file install/data_fr.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file install/default.htaccess.txt | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file install/index.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file install/ini.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file install/mainfile.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file install/template.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file install/tpl/step1.tpl | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file install/tpl/step2.tpl | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file install/tpl/step3.tpl | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file install/tpl/step4.tpl | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file install/tpl/step5.tpl | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file install/tpl/step6.tpl | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file install/tpl/step7.tpl | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file install/tpl/step8.tpl | SUCCESS
